12,\begin{vmatrix} t = -x^2\\  dt = -2xdx\\ xdx = -\frac{dt}{2} \end{vmatrix},1,
12,-\frac{1}{2} \int e^t dt,2,
12,-\frac{1}{2}e^t + c,3,
12,-\frac{1}{2}e^{-x^2} + c,4,
13,\begin{vmatrix} t = a^2-x^2\\  dt = -2xdx\\ xdx = -\frac{dt}{2} \end{vmatrix},1,
13,-\frac{1}{2} \int \sqrt{t} dt,2,
13,-\frac{1}{3} t^{\frac{3}{2}} + c,3,
13,-\frac{1}{3} \sqrt{a^2 - x^2}^3,4,
14,\begin{vmatrix} u = x   &  \frac{dv}{dx} = e^{-x} \\ \frac{du}{dx} = 1   &  v = -e^{-x}\end{vmatrix},1,
14,-xe^{-x} + \int e^{-x}dx,2,
14,-xe^{-x} - e^{-x} + c,3,
15,\int \frac{sinx}{cosx}dx,1,
15,\begin{vmatrix} t = cosx \\ dt = -sinxdx \end{vmatrix},2,
15,-\int \frac{1}{t}dt,3,
15,-lnt + c,4,
15,-ln(cosx) + c,5,
16,\begin{vmatrix} t = lnx \\ dt = \frac{1}{x}dx  \end{vmatrix},1,
16,\int \frac{1}{t}dt,2,
16,lnt + c,3,
16,ln(lnx) + c,4,
17,\begin{vmatrix} u = x   &  \frac{dv}{dx} = sinx \\ \frac{du}{dx} = 1  &   v = -cosx\end{vmatrix},1,
17,-xcosx + \int cosxdx,2,
17,-xcosx + sinx + c,3,
